% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
710000,712.5,408.0,1.0,3,1,1
714000,713.2,407.9,1.0,3,1,1
718000,713.4,407.8,1.0,3,1,1
722000,714.7,407.8,1.0,3,1,1
726000,716.0,407.7,1.0,3,1,1
730000,716.1,407.7,1.0,3,1,1
735000,716.3,407.7,1.0,3,1,1
739000,715.9,408.5,1.0,3,1,1
743000,715.7,410.4,1.0,2,2,2
747000,718.3,423.4,1.0,2,2,2
751000,722.1,448.4,1.0,2,2,2
755000,728.3,478.0,1.0,2,2,2
759000,738.0,513.0,1.0,2,2,2
763000,745.3,547.6,1.0,2,2,2
767000,749.4,574.2,1.0,2,2,2
770000,751.8,585.3,1.0,2,2,2
774000,753.8,593.8,1.0,2,2,2
778000,759.6,605.2,1.0,2,2,2
782000,759.6,605.7,1.0,2,2,2
786000,759.5,605.8,1.0,3,1,3
790000,759.4,605.8,1.0,3,1,3
794000,759.8,606.0,1.0,3,1,3
798000,760.3,606.2,1.0,3,1,3
802000,761.4,607.6,1.0,3,1,3
806000,761.6,607.4,1.0,3,1,3
810000,761.7,607.2,1.0,3,1,3
814000,761.9,607.1,1.0,3,1,3
818000,762.1,607.0,1.0,3,1,3
822000,762.2,606.9,1.0,3,1,3
826000,764.1,606.9,1.0,3,1,3
830000,764.4,607.0,1.0,3,1,3
835000,764.6,607.1,1.0,3,1,3
839000,764.7,607.1,1.0,3,1,3
843000,765.5,607.2,1.0,3,1,3
847000,766.9,607.6,1.0,3,1,3
851000,767.0,608.1,1.0,3,1,3
855000,767.1,608.3,1.0,3,1,3
859000,768.5,608.4,1.0,3,1,3
863000,769.3,608.3,1.0,3,1,3
867000,770.4,608.2,1.0,3,1,3
870000,770.5,608.3,1.0,3,1,3
874000,770.6,608.2,1.0,3,1,3
878000,770.7,608.4,1.0,3,1,3
882000,770.8,608.4,1.0,3,1,3
886000,771.2,608.6,1.0,3,1,3
890000,771.6,608.9,1.0,3,1,3
894000,772.6,609.0,1.0,3,1,3
898000,772.7,609.0,1.0,3,1,3
902000,772.9,609.3,1.0,3,1,3
906000,773.5,609.3,1.0,3,1,3
910000,773.6,609.4,1.0,3,1,3
914000,773.7,609.3,1.0,3,1,3
918000,773.7,609.2,1.0,3,1,3
922000,774.1,609.2,1.0,3,1,3
926000,774.7,609.5,1.0,3,1,3
930000,775.7,609.5,1.0,3,1,3
934000,776.1,609.6,1.0,3,1,3
938000,776.4,609.4,1.0,3,1,3
942000,776.5,610.4,1.0,3,1,3
946000,776.8,610.8,1.0,3,1,3
950000,777.0,610.8,1.0,3,1,3
954000,777.2,610.8,1.0,3,1,3
958000,777.3,610.3,1.0,3,1,3
962000,777.4,610.0,1.0,3,1,3
966000,777.7,609.6,1.0,3,1,3
970000,778.0,609.4,1.0,3,1,3
974000,779.0,609.3,1.0,3,1,3
978000,779.7,609.5,1.0,3,1,3
982000,780.0,609.8,1.0,3,1,3
986000,780.4,610.0,1.0,3,1,3
990000,780.5,610.1,1.0,3,1,3
994000,780.5,609.7,1.0,3,1,3
998000,780.7,609.3,1.0,3,1,3
1002000,780.5,608.5,1.0,3,1,3
1006000,780.5,608.6,1.0,3,1,3
1010000,781.5,608.4,1.0,3,1,3
1014000,782.1,608.3,1.0,3,1,3
1018000,782.4,608.3,1.0,3,1,3
1022000,782.7,608.4,1.0,3,1,3
1026000,782.9,608.5,1.0,3,1,3
1030000,783.0,608.5,1.0,3,1,3
1034000,783.1,608.7,1.0,3,1,3
1038000,784.0,608.5,1.0,3,1,3
1042000,784.8,608.4,1.0,3,1,3
1046000,785.1,608.3,1.0,3,1,3
1050000,785.2,608.3,1.0,3,1,3
1054000,785.6,607.7,1.0,3,1,3
1058000,786.1,607.0,1.0,3,1,3
1062000,786.3,607.0,1.0,3,1,3
1066000,786.6,606.8,1.0,3,1,3
1070000,786.2,606.5,1.0,3,1,3
1074000,785.9,606.2,1.0,3,1,3
1078000,785.0,606.1,1.0,3,1,3
1082000,771.1,606.5,1.0,2,2,2
1086000,738.0,606.3,1.0,2,2,2
1090000,689.9,605.5,1.0,2,2,2
1094000,631.4,612.6,1.0,2,2,2
1098000,573.1,612.0,1.0,2,2,2
1102000,519.2,605.0,1.0,2,2,2
1106000,462.1,601.4,1.0,2,2,2
1110000,412.0,601.9,1.0,2,2,2
1114000,365.0,603.1,1.0,2,2,2
1118000,325.9,604.4,1.0,2,2,2
1122000,293.6,603.9,1.0,2,2,2
1126000,285.4,603.0,1.0,2,2,2
1130000,282.0,600.8,1.0,2,2,2
1134000,285.8,595.4,1.0,2,2,2
1138000,289.8,592.6,1.0,2,2,3
1142000,294.3,592.3,1.0,2,2,3
1146000,294.9,592.4,1.0,2,2,3
1150000,298.8,592.5,1.0,3,3,3
1154000,303.1,595.7,1.0,3,3,3
1158000,307.2,596.1,1.0,3,3,3
1162000,308.3,596.5,1.0,3,3,3
1166000,316.0,596.6,1.0,3,3,3
1170000,318.8,597.7,1.0,3,3,3
1174000,319.6,597.5,1.0,3,3,3
1178000,320.6,597.5,1.0,3,3,3
1182000,323.0,597.5,1.0,3,3,3
1186000,325.5,597.5,1.0,3,3,3
1190000,326.6,597.5,1.0,3,3,3
1194000,328.9,597.6,1.0,3,3,3
1198000,329.4,598.7,1.0,3,3,3
1202000,332.6,599.3,1.0,3,3,3
1206000,335.0,599.8,1.0,3,3,3
1210000,337.9,599.6,1.0,3,3,3
1214000,338.1,599.5,1.0,3,3,3
1218000,340.1,598.7,1.0,3,3,3
1222000,341.4,598.6,1.0,3,3,3
1226000,343.1,598.6,1.0,3,3,3
1230000,346.3,598.6,1.0,3,3,3
1234000,346.6,598.9,1.0,3,3,3
1238000,346.9,599.0,1.0,3,3,3
1242000,350.0,599.1,1.0,3,3,3
1246000,351.0,599.4,1.0,3,3,3
1250000,353.3,599.7,1.0,3,3,3
1254000,355.9,600.3,1.0,3,3,3
1258000,359.2,600.4,1.0,3,3,3
1262000,360.1,600.6,1.0,3,3,3
1266000,361.1,600.6,1.0,3,3,3
1270000,362.0,600.3,1.0,3,3,3
1274000,363.4,600.6,1.0,3,3,3
1278000,365.0,600.9,1.0,3,3,3
1282000,367.7,601.9,1.0,3,3,3
1286000,369.3,602.1,1.0,3,3,3
1290000,371.0,602.3,1.0,3,3,3
1294000,373.6,602.4,1.0,3,3,3
1298000,374.3,602.5,1.0,3,3,3
1303000,374.3,602.3,1.0,3,3,3
1307000,374.9,602.5,1.0,3,3,3
1311000,378.8,602.6,1.0,3,3,3
1315000,381.3,602.7,1.0,3,3,3
1319000,383.4,602.8,1.0,3,3,3
1323000,383.9,603.8,1.0,3,3,3
1327000,384.6,603.9,1.0,3,3,3
1331000,388.7,603.5,1.0,3,3,3
1334000,389.9,603.2,1.0,3,3,3
1338000,391.1,603.5,1.0,3,3,3
1342000,391.8,604.5,1.0,3,3,3
1346000,392.4,604.5,1.0,3,3,3
1350000,393.8,604.8,1.0,3,3,3
1354000,396.8,605.1,1.0,3,3,3
1358000,397.6,605.3,1.0,3,3,3
1362000,398.0,605.3,1.0,3,3,3
1366000,398.3,605.3,1.0,3,3,3
1371000,399.2,605.6,1.0,3,3,3
1375000,400.1,605.6,1.0,3,3,3
1379000,402.6,605.6,1.0,3,3,3
1383000,403.9,605.6,1.0,3,3,3
1387000,405.8,605.6,1.0,3,3,3
1391000,409.0,605.9,1.0,3,3,3
1395000,409.1,605.9,1.0,3,3,3
1399000,411.9,605.5,1.0,3,3,3
1402000,412.9,605.1,1.0,3,3,3
1406000,414.8,605.0,1.0,3,3,3
1410000,415.2,605.0,1.0,3,3,3
1414000,417.0,604.9,1.0,3,3,3
1418000,419.3,604.9,1.0,3,3,3
1422000,420.0,604.9,1.0,3,3,3
1426000,421.5,604.7,1.0,3,3,3
1430000,422.1,604.7,1.0,3,3,3
1434000,422.2,604.3,1.0,3,3,3
1438000,422.2,603.9,1.0,3,3,3
1442000,427.1,603.8,1.0,3,3,3
1446000,428.9,603.8,1.0,3,3,3
1450000,430.0,604.1,1.0,3,3,3
1454000,430.8,604.2,1.0,3,3,3
1458000,431.5,604.3,1.0,3,3,3
1462000,435.4,603.7,1.0,3,3,3
1466000,436.8,603.9,1.0,3,3,3
1471000,438.1,603.9,1.0,3,3,3
1475000,439.3,603.7,1.0,3,3,3
1479000,439.6,603.6,1.0,3,3,3
1483000,439.9,603.6,1.0,3,3,3
1487000,440.5,603.5,1.0,3,3,3
1491000,442.9,603.4,1.0,3,3,3
1495000,444.6,603.2,1.0,3,3,3
1499000,445.3,603.1,1.0,3,3,3
1502000,446.0,603.0,1.0,3,3,3
1506000,449.4,602.0,1.0,3,3,3
1510000,449.4,601.7,1.0,3,3,3
1514000,451.6,601.5,1.0,3,3,3
1518000,453.1,601.7,1.0,3,3,3
1522000,455.5,601.8,1.0,3,3,3
1526000,458.0,601.7,1.0,3,3,3
1530000,459.1,601.3,1.0,3,3,3
1534000,459.2,601.2,1.0,3,3,3
1538000,459.7,601.1,1.0,3,3,3
1542000,460.0,601.2,1.0,3,3,3
1546000,461.0,600.9,1.0,3,3,3
1550000,462.1,600.8,1.0,3,3,3
1554000,463.3,601.0,1.0,3,3,3
1558000,464.9,600.8,1.0,3,3,3
1562000,466.3,601.1,1.0,3,3,3
1566000,468.0,601.2,1.0,3,3,3
1570000,468.6,600.9,1.0,3,3,3
1574000,469.3,600.7,1.0,3,3,3
1578000,472.4,600.4,1.0,3,3,3
1582000,472.9,600.6,1.0,3,3,3
1586000,473.5,600.6,1.0,3,3,3
1590000,475.3,600.5,1.0,3,3,3
1594000,475.9,600.0,1.0,3,3,3
1598000,478.1,599.3,1.0,3,3,3
1602000,478.5,599.1,1.0,3,3,3
1606000,478.9,599.0,1.0,3,3,3
1610000,479.1,598.9,1.0,3,3,3
1614000,479.4,598.5,1.0,3,3,3
1618000,481.8,598.1,1.0,3,3,3
1622000,482.0,598.0,1.0,3,3,3
1626000,482.4,597.8,1.0,3,3,3
1630000,484.1,597.5,1.0,3,3,3
1634000,486.4,597.3,1.0,3,3,3
1638000,488.0,597.1,1.0,3,3,3
1642000,487.9,597.3,1.0,3,3,3
1646000,489.0,597.5,1.0,3,3,3
1650000,490.2,597.7,1.0,3,3,3
1654000,490.9,597.7,1.0,3,3,3
1658000,491.6,597.6,1.0,3,3,3
1662000,495.0,597.8,1.0,3,3,3
1666000,495.4,597.9,1.0,3,3,3
1670000,494.0,597.9,1.0,3,3,2
1674000,492.6,598.0,1.0,3,3,2
1678000,488.5,591.3,1.0,2,2,2
1682000,477.3,582.9,1.0,2,2,2
1686000,472.8,561.8,1.0,2,2,2
1690000,468.9,534.3,1.0,2,2,2
1694000,468.7,504.5,1.0,2,2,2
1698000,469.1,480.4,1.0,2,2,2
1702000,470.5,464.5,1.0,2,2,2
1706000,469.4,450.7,1.0,2,2,2
1710000,468.5,440.1,1.0,2,2,2
1714000,470.5,436.1,1.0,2,2,2
1718000,471.4,435.8,1.0,2,2,2
1722000,471.9,435.9,1.0,1,1,1
1726000,472.0,435.6,1.0,1,1,1
1730000,472.2,435.3,1.0,1,1,1
1734000,472.8,435.2,1.0,1,1,1
1738000,473.4,435.3,1.0,1,1,1
1742000,473.8,435.4,1.0,1,1,1
1746000,474.8,437.1,1.0,1,1,1
1750000,475.6,439.0,1.0,1,1,1
1754000,476.8,439.8,1.0,1,1,1
1758000,477.7,440.0,1.0,1,1,1
1762000,478.0,441.2,1.0,1,1,1
1766000,480.0,441.1,1.0,1,1,1
1770000,481.1,441.4,1.0,1,1,1
1774000,481.0,441.8,1.0,1,1,1
1778000,481.1,442.5,1.0,1,1,1
1782000,481.2,442.8,1.0,1,1,1
1786000,481.1,443.0,1.0,1,1,1
1790000,481.1,443.0,1.0,1,1,1
1794000,481.1,442.9,1.0,1,1,1
1798000,481.1,442.8,1.0,1,1,1
1802000,481.2,443.0,1.0,1,1,1
1806000,481.2,442.9,1.0,1,1,1
1810000,481.2,442.8,1.0,1,1,1
1814000,481.4,442.7,1.0,1,1,1
1818000,481.3,442.5,1.0,1,1,1
1822000,481.6,442.4,1.0,1,1,1
1826000,481.8,442.3,1.0,1,1,1
1830000,481.8,442.5,1.0,1,1,1
1834000,481.9,442.6,1.0,1,1,1
1838000,481.9,442.6,1.0,1,1,1
1842000,481.8,443.0,1.0,1,1,1
1846000,481.9,443.4,1.0,1,1,1
1850000,482.0,443.6,1.0,1,1,1
1854000,482.2,443.5,1.0,1,1,1
1858000,481.9,443.8,1.0,1,1,1
1862000,481.7,443.8,1.0,1,1,1
1866000,481.6,444.2,1.0,1,1,1
1870000,480.9,444.4,1.0,1,1,1
1874000,480.1,444.4,1.0,1,1,1
1878000,479.4,444.5,1.0,1,1,1
1882000,478.1,444.1,1.0,1,1,1
1886000,472.7,442.5,1.0,2,2,2
1890000,462.1,427.2,1.0,2,2,2
1894000,448.8,416.6,1.0,2,2,2
1898000,442.1,393.2,1.0,2,2,2
1902000,438.5,388.1,1.0,2,2,2
1906000,436.6,383.1,1.0,2,2,2
1910000,436.8,382.5,1.0,2,2,2
1914000,436.6,382.4,1.0,1,1,1
1918000,436.3,382.2,1.0,1,1,1
1922000,435.7,382.1,1.0,1,1,1
1926000,434.9,381.9,1.0,1,1,1
1930000,434.5,381.7,1.0,1,1,1
1934000,434.2,381.7,1.0,1,1,1
1938000,434.1,381.9,1.0,1,1,1
1942000,433.9,382.0,1.0,1,1,1
1946000,433.7,382.6,1.0,1,1,1
1950000,433.6,383.1,1.0,1,1,1
1954000,433.6,383.8,1.0,1,1,1
1958000,433.5,384.3,1.0,1,1,1
1962000,433.6,384.9,1.0,1,1,1
1966000,433.4,385.4,1.0,1,1,1
1970000,433.6,385.4,1.0,1,1,1
1974000,433.8,385.5,1.0,1,1,1
1978000,433.8,386.1,1.0,1,1,1
1982000,433.7,386.1,1.0,1,1,1
1986000,433.5,386.1,1.0,1,1,1
1990000,432.9,386.6,1.0,1,1,1
1994000,432.6,386.8,1.0,1,1,1
1998000,431.7,386.9,1.0,1,1,1
2002000,431.6,386.8,1.0,1,1,1
2006000,431.5,386.6,1.0,1,1,1
2010000,431.6,386.4,1.0,1,1,1
2014000,431.6,386.4,1.0,1,1,1
2018000,431.5,386.5,1.0,1,1,1
2022000,431.9,386.8,1.0,1,1,1
2026000,432.2,387.2,1.0,1,1,1
2030000,438.7,387.9,1.0,2,2,2
2034000,457.0,392.9,1.0,2,2,2
2038000,488.1,393.9,1.0,2,2,2
2042000,530.2,394.5,1.0,2,2,2
2046000,568.6,395.7,1.0,2,2,2
2050000,598.2,396.5,1.0,2,2,2
2054000,623.0,401.5,1.0,2,2,2
2058000,644.0,404.0,1.0,2,2,2
2062000,644.6,407.1,1.0,2,2,2
2066000,644.4,408.9,1.0,2,2,2
2070000,645.2,409.2,1.0,1,1,1
2074000,646.0,409.5,1.0,1,1,1
2078000,647.9,409.7,1.0,1,1,1
2082000,648.3,411.0,1.0,1,1,1
2086000,648.5,411.6,1.0,1,1,1
2090000,648.6,412.1,1.0,1,1,1
2094000,648.7,412.5,1.0,1,1,1
2098000,648.3,412.4,1.0,1,1,1
2102000,648.4,412.4,1.0,1,1,1
2106000,648.3,413.4,1.0,1,1,1
2110000,648.2,414.0,1.0,1,1,1
2114000,648.0,413.8,1.0,1,1,1
2118000,648.0,413.6,1.0,1,1,1
2122000,648.1,413.6,1.0,1,1,1
2126000,648.0,413.7,1.0,1,1,1
2130000,648.0,413.9,1.0,1,1,1
2134000,648.3,414.0,1.0,1,1,1
2138000,648.6,414.0,1.0,1,1,1
2142000,648.5,414.0,1.0,1,1,1
2146000,648.4,414.1,1.0,1,1,1
2150000,648.5,414.7,1.0,1,1,1
2154000,648.5,414.8,1.0,1,1,1
2158000,648.6,414.9,1.0,1,1,1
2162000,648.6,414.9,1.0,1,1,1
2166000,648.5,415.0,1.0,1,1,1
2170000,648.4,414.8,1.0,1,1,1
2174000,648.3,414.7,1.0,1,1,1
2178000,648.3,414.6,1.0,1,1,1
2182000,648.4,414.7,1.0,1,1,1
2186000,648.4,414.8,1.0,1,1,1
2190000,648.4,415.0,1.0,1,1,1
2194000,648.4,415.6,1.0,1,1,1
2198000,648.0,415.7,1.0,1,1,1
2202000,647.7,415.8,1.0,1,1,1
2206000,648.2,416.4,1.0,1,1,1
2210000,648.7,416.9,1.0,1,1,1
2214000,649.0,416.9,1.0,1,1,1
2218000,649.3,416.9,1.0,1,1,1
2222000,649.4,417.3,1.0,1,1,1
2226000,649.7,417.7,1.0,1,1,1
2230000,649.8,417.6,1.0,1,1,1
2234000,650.0,418.2,1.0,1,1,1
2238000,650.1,418.3,1.0,1,1,1
2242000,650.1,418.3,1.0,1,1,1
2246000,650.3,418.3,1.0,1,1,1
2250000,650.3,418.5,1.0,1,1,1
2254000,650.6,418.6,1.0,1,1,1
2258000,650.9,418.7,1.0,1,1,1
2262000,651.0,418.7,1.0,1,1,1
2266000,651.1,419.2,1.0,1,1,1
2270000,651.1,419.4,1.0,1,1,1
2274000,651.1,419.3,1.0,1,1,1
2278000,651.0,419.3,1.0,1,1,1
2282000,651.3,419.6,1.0,1,1,1
2286000,651.3,419.8,1.0,1,1,1
2290000,651.3,419.9,1.0,1,1,1
2294000,651.5,420.0,1.0,1,1,1
2298000,651.6,419.7,1.0,1,1,1
2302000,651.5,419.8,1.0,1,1,1
2306000,651.7,419.9,1.0,1,1,1
2310000,651.6,419.9,1.0,1,1,1
2314000,651.8,419.8,1.0,1,1,1
2318000,651.9,420.0,1.0,1,1,1
2322000,652.0,420.1,1.0,1,1,1
2326000,652.0,420.1,1.0,1,1,1
2330000,651.9,420.0,1.0,1,1,1
2334000,651.9,420.0,1.0,1,1,1
2338000,651.9,420.0,1.0,1,1,1
2342000,652.0,420.1,1.0,1,1,1
2346000,658.5,421.9,1.0,2,2,2
2350000,674.5,421.8,1.0,2,2,2
2354000,702.2,421.8,1.0,2,2,2
2358000,736.0,420.9,1.0,2,2,2
2362000,764.0,419.3,1.0,2,2,2
2366000,784.7,417.9,1.0,2,2,2
2369000,805.8,414.1,1.0,2,2,2
2373000,822.7,410.1,1.0,2,2,2
2377000,838.3,409.6,1.0,2,2,2
2381000,838.9,410.1,1.0,2,2,2
2385000,839.1,411.1,1.0,1,1,1
2389000,839.3,411.5,1.0,1,1,1
2393000,839.9,411.0,1.0,1,1,1
2397000,840.6,411.0,1.0,1,1,1
2401000,840.7,411.1,1.0,1,1,1
2406000,840.9,411.2,1.0,1,1,1
2410000,841.0,411.2,1.0,1,1,1
2414000,841.0,411.2,1.0,1,1,1
2418000,841.1,412.4,1.0,1,1,1
2422000,841.1,412.5,1.0,1,1,1
2426000,841.2,412.5,1.0,1,1,1
2430000,841.3,413.4,1.0,1,1,1
2434000,841.4,413.6,1.0,1,1,1
2438000,841.3,413.7,1.0,1,1,1
2442000,841.3,413.7,1.0,1,1,1
2446000,841.1,414.4,1.0,1,1,1
2450000,840.9,414.7,1.0,1,1,1
2454000,840.7,415.0,1.0,1,1,1
2458000,835.3,422.2,1.0,2,2,2
2462000,824.5,430.4,1.0,2,2,2
2466000,797.0,448.5,1.0,2,2,2
2470000,766.5,464.0,1.0,2,2,2
2474000,737.4,482.2,1.0,2,2,2
2478000,715.9,485.3,1.0,2,2,2
2482000,712.6,490.4,1.0,2,2,2
2486000,703.0,506.0,1.0,2,2,2
2490000,696.6,510.2,1.0,2,2,2
2494000,688.1,512.1,1.0,2,2,2
2498000,687.9,511.9,1.0,2,2,2
2502000,687.7,511.6,1.0,1,1,1
2506000,687.4,511.3,1.0,1,1,1
2510000,687.1,511.5,1.0,1,1,1
2514000,686.7,511.8,1.0,1,1,1
2518000,687.1,512.5,1.0,1,1,1
2522000,687.5,513.4,1.0,1,1,1
2526000,688.7,514.2,1.0,1,1,1
2530000,688.8,514.2,1.0,1,1,1
2534000,688.7,514.8,1.0,1,1,1
2538000,688.8,514.8,1.0,1,1,1
2542000,688.7,514.8,1.0,1,1,1
2546000,688.7,514.9,1.0,1,1,1
2550000,688.7,514.9,1.0,1,1,1
2554000,688.5,514.9,1.0,1,1,1
