%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
% - 0 is UNKNOWN
% - 1 is FIX (fixation)
% - 2 is SACCADE
% - 3 is SP (smooth pursuit)
% - 4 is NOISE
% 
% The number after speed, direction denotes the step size that was used for the calculation.
% Acceleration was calculated between two adjacent samples of the already low pass filtered velocity
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER
@ATTRIBUTE speed_1 NUMERIC
@ATTRIBUTE direction_1 NUMERIC
@ATTRIBUTE acceleration_1 NUMERIC
@ATTRIBUTE speed_2 NUMERIC
@ATTRIBUTE direction_2 NUMERIC
@ATTRIBUTE acceleration_2 NUMERIC
@ATTRIBUTE speed_4 NUMERIC
@ATTRIBUTE direction_4 NUMERIC
@ATTRIBUTE acceleration_4 NUMERIC
@ATTRIBUTE speed_8 NUMERIC
@ATTRIBUTE direction_8 NUMERIC
@ATTRIBUTE acceleration_8 NUMERIC
@ATTRIBUTE speed_16 NUMERIC
@ATTRIBUTE direction_16 NUMERIC
@ATTRIBUTE acceleration_16 NUMERIC
@ATTRIBUTE EYE_MOVEMENT_TYPE {UNKNOWN, FIX, SACCADE, SP, NOISE, BLINK, NOISE_CLUSTER, PSO}

@DATA
40000,600.3,319.6,1.0,1,1,1,0.9549949,1.57,18750.0,1.0676843,1.11,6987.71,0.38581795,0.79,8928.57,0.569559,0.46,8374.9,0.9278731,-1.08,798.6,FIX
44000,600.4,319.7,1.0,1,1,1,1.3507448,0.79,6250.0,0.6753724,0.79,3125.0,0.47749746,1.57,2232.14,0.8992232,0.46,2157.61,1.0355965,-1.25,1287.7,FIX
48000,600.4,319.7,1.0,1,1,1,0.0,0.0,8838.83,0.47749746,3.14,6987.71,0.9549949,1.57,3125.0,0.40224385,0.0,3721.61,0.89998716,-1.33,1010.15,FIX
52000,600.3,319.7,1.0,1,1,1,0.9549949,3.14,6250.0,1.5100379,1.89,9375.0,1.0676843,1.11,3125.0,0.34418017,-0.59,1461.13,0.81594765,-1.21,842.32,FIX
56000,600.3,320.0,1.0,1,1,1,2.8649848,1.57,19764.24,1.7216648,0.98,9375.0,0.50347334,-0.32,7291.67,0.556953,-1.03,1875.0,0.57490695,-0.84,2275.03,FIX
68000,600.7,320.3,1.0,1,1,1,1.5917854,0.64,5007.71,1.3507448,-0.79,5208.33,0.79570174,-0.93,1041.67,0.8594954,-1.57,1041.67,0.57490695,-0.84,0.0,FIX
72000,600.7,319.6,1.0,1,1,1,6.684964,-1.57,50689.69,4.7986584,-1.67,26700.01,1.5100379,-1.25,5208.33,0.78767985,-1.82,1397.54,0.42707375,-1.11,1288.47,FIX
76000,600.6,319.3,1.0,1,1,1,3.0200758,-1.89,25769.41,2.434855,-1.77,15625.0,3.6522825,-1.77,16086.92,0.65283453,-1.21,2926.17,0.39804187,-1.21,340.86,FIX
80000,600.6,319.1,1.0,1,1,1,1.9099898,-1.57,8838.83,2.5712283,-1.95,3125.0,2.053621,-2.19,12884.71,0.89425725,-1.22,1581.14,0.27962252,-1.57,1099.25,FIX
84000,600.4,318.8,1.0,1,1,1,3.4433296,-2.16,13975.42,2.1353686,-2.68,11267.35,0.58751285,-1.57,10550.94,1.1822838,-1.57,3001.51,0.20818888,-2.03,862.33,FIX
88000,600.2,318.9,1.0,1,1,1,2.1353686,2.68,25000.0,0.47444147,0.46,17081.07,0.32851827,-1.11,2150.07,0.7277061,-1.57,2976.19,0.2246148,-2.21,275.97,FIX
102000,600.6,318.9,1.0,1,1,1,1.0913682,0.0,5889.49,1.0611904,0.0,1254.87,0.5298312,0.59,1228.61,0.5458751,-1.57,340.14,0.24218671,-1.95,118.84,FIX
106000,600.7,318.9,1.0,1,1,1,0.9549949,0.0,892.86,0.6753724,0.79,4934.96,0.749098,-0.2,3466.88,0.28764448,-2.82,3470.8,0.42401776,-2.13,1247.84,FIX
110000,600.7,319.0,1.0,1,1,1,0.9549949,1.57,8838.83,0.47749746,-1.57,6987.71,0.47749746,-1.57,5272.05,0.4897214,1.95,3620.69,0.6215107,-2.07,1308.7,FIX
114000,600.7,318.8,1.0,1,1,1,1.9099898,-1.57,18750.0,1.5100379,-1.89,6987.71,0.98440874,2.9,7812.5,0.34991014,1.82,985.69,0.3579321,-2.55,2272.73,FIX
118000,600.6,318.7,1.0,1,1,1,1.3507448,-2.36,8838.83,2.1353686,2.68,18221.72,1.3920006,2.6,3493.86,0.6364086,2.6,3016.92,0.26701656,-2.76,726.0,FIX
122000,600.3,319.0,1.0,1,1,1,4.051852,2.36,27950.85,3.4433296,2.16,12500.0,1.5703937,2.45,1893.23,1.0355965,2.82,2857.14,0.2043689,-2.9,459.16,FIX
126000,600.2,319.3,1.0,1,1,1,3.0200758,1.89,12500.0,1.2521893,2.16,14340.26,1.4217964,2.36,1315.79,0.6902703,2.82,2258.77,0.23187277,1.77,2070.82,FIX
133000,600.1,319.3,1.0,1,1,1,0.5458751,3.14,10823.06,0.49124935,-2.36,5354.68,1.0825822,2.76,2255.64,0.78691584,2.55,816.33,0.19290897,0.79,760.57,FIX
137000,600.1,319.2,1.0,1,1,1,0.9549949,-1.57,7198.44,1.5100379,-2.82,7153.23,0.28420648,-2.36,6578.95,0.6986743,2.47,714.29,0.15470918,1.57,900.97,FIX
141000,599.8,319.2,1.0,1,1,1,2.8649848,3.14,19764.24,0.0,0.0,9882.12,0.23874873,-1.57,1338.72,0.10925141,3.14,4040.61,0.15470918,1.57,0.0,FIX
145000,600.1,319.2,1.0,1,1,1,2.8649848,0.0,37500.0,1.4324924,0.0,9375.0,0.23874873,-1.57,0.0,0.090915516,0.0,1309.52,0.10313945,1.57,337.84,FIX
149000,600.1,319.2,1.0,1,1,1,0.0,0.0,18750.0,0.47749746,-1.57,9882.12,1.0676843,-0.46,6442.35,0.40377185,-0.24,2070.59,0.2066609,1.57,675.68,FIX
153000,600.1,319.1,1.0,1,1,1,0.9549949,-1.57,6250.0,1.0676843,-1.11,4419.42,0.37130204,0.46,5861.32,0.4897214,0.0,906.55,0.31400234,1.41,755.43,FIX
157000,600.2,319.0,1.0,1,1,1,1.3507448,-0.79,6250.0,0.7204482,0.79,9585.6,0.6642944,0.0,2430.51,0.8816513,0.0,2564.1,0.23569274,0.64,1420.05,FIX
168000,600.3,319.3,1.0,1,1,1,1.0982442,1.25,4967.28,0.91832316,0.59,606.06,0.8468895,0.2,558.98,0.58751285,0.0,699.3,0.20016693,0.79,112.23,FIX
172000,600.5,319.2,1.0,1,1,1,2.1353686,-0.46,16594.41,1.5100379,-0.32,7800.69,0.89425725,0.38,1086.96,0.58751285,0.0,0.0,0.31362033,0.9,764.63,FIX
176000,600.6,319.2,1.0,1,1,1,0.9549949,0.0,8838.83,0.9549949,0.0,4419.42,0.98440874,-0.24,3824.31,0.61960065,0.32,1282.05,0.48246342,1.15,1282.05,FIX
180000,600.7,319.2,1.0,1,1,1,0.9549949,0.0,0.0,0.47749746,0.0,3125.0,0.47749746,0.0,3493.86,0.48437342,0.54,1181.3,0.9794428,1.57,3751.51,FIX
184000,600.7,319.2,1.0,1,1,1,0.0,0.0,6250.0,0.0,0.0,3125.0,0.3376862,0.79,2209.71,0.3533481,0.98,1464.87,2.953226,1.67,12963.94,FIX
188000,600.7,319.2,1.0,1,1,1,0.0,0.0,0.0,0.47749746,1.57,3125.0,0.1661691,1.57,1633.26,0.58751285,1.57,2311.25,8.626278,1.61,37180.87,FIX
192000,600.7,319.3,1.0,1,1,1,0.9549949,1.57,6250.0,0.25479263,1.57,1458.33,0.7426041,2.03,3919.08,0.88699925,1.68,2027.1,23.905432,1.55,100166.28,FIX
203000,600.7,319.3,1.0,1,2,1,0.0,0.0,2272.73,0.91832316,2.16,1714.2,1.0504944,1.89,790.51,2.1483567,1.99,3170.51,40.607914,1.5,39921.09,FIX
207000,600.5,319.6,1.0,1,2,1,3.4433296,2.16,22534.7,2.5712283,1.95,11018.06,1.3694626,1.82,2173.91,5.993166,1.77,25713.04,71.16889,1.47,200185.33,FIX
211000,600.5,319.8,1.0,1,2,1,1.9099898,1.57,13975.42,2.3874872,1.57,6250.0,5.019453,2.01,24124.6,17.28579,1.64,74361.74,96.548836,1.45,166598.52,FIX
215000,600.5,320.1,1.0,1,2,1,2.8649848,1.57,6250.0,7.474172,2.03,35630.48,13.581556,1.75,57833.61,47.60535,1.56,199052.66,118.71465,1.4,149645.05,FIX
219000,599.8,321.2,1.0,1,2,1,12.451605,2.14,66438.41,24.816116,1.76,116004.44,40.672085,1.64,178131.84,98.58336,1.5,334582.8,135.85109,1.35,118798.85,FIX
223000,599.5,325.2,1.0,2,2,2,38.307137,1.65,182966.02,74.51405,1.6,328660.28,114.13412,1.56,482071.12,166.4602,1.48,444863.06,148.58536,1.32,89297.89,SACCADE
227000,599.4,336.8,1.0,2,2,2,110.783615,1.58,475164.44,204.053,1.53,849413.9,192.79933,1.49,518641.75,240.49673,1.45,485687.3,157.60281,1.32,59247.0,SACCADE
231000,601.2,367.9,1.0,2,2,2,297.5004,1.51,1224521.6,311.59232,1.47,711821.25,355.2608,1.46,1064348.9,295.5098,1.4,371827.06,143.13503,1.33,94748.72,SACCADE
235000,606.2,401.7,1.0,2,2,2,326.30112,1.42,261680.27,598.35736,1.43,1880213.8,561.4575,1.43,1353171.9,337.05362,1.35,292045.06,158.44206,1.33,100175.62,SACCADE
236000,612.5,445.4,1.0,2,2,2,1686.589,1.43,35609900.0,1562.5023,1.4,25248912.0,588.7345,1.35,1413966.0,363.39658,1.31,779033.7,158.53757,1.32,4650.41,SACCADE
237000,620.2,482.3,1.0,2,2,2,1439.9347,1.37,6942622.0,582.8284,1.27,25855390.0,572.9156,1.27,1297998.5,369.5089,1.3,170796.95,158.4963,1.33,4411.76,SACCADE
241000,635.3,518.2,1.0,2,2,2,371.93576,1.17,7049872.5,332.91733,1.11,1695863.8,380.02075,1.16,1304785.5,248.33687,1.28,794280.56,158.38744,1.33,735.29,SACCADE
245000,651.1,544.8,1.0,2,2,2,295.46243,1.03,582894.2,258.44455,1.01,528346.9,256.49445,1.12,811865.7,213.61288,1.25,230203.88,158.04784,1.32,3908.14,SACCADE
249000,664.3,563.9,1.0,2,2,2,221.72536,0.97,496117.75,180.12349,1.14,547410.44,119.06494,1.14,899696.94,155.18134,1.2,386729.78,136.12993,1.31,143625.7,SACCADE
253000,666.8,579.1,1.0,2,2,2,147.10971,1.41,711786.94,60.2533,1.4,804605.7,75.50763,1.21,288256.34,110.44898,1.16,295491.72,130.77203,1.3,37317.38,SACCADE
267000,669.0,591.9,1.0,2,2,2,35.43757,1.4,208813.92,29.725935,1.4,57083.58,43.815548,1.4,62725.26,75.1157,1.15,66078.6,116.00629,1.27,28497.66,SACCADE
271000,669.2,592.9,1.0,2,2,2,9.7390375,1.37,168217.7,6.8366175,1.36,149844.39,21.4022,1.42,146722.06,47.53239,1.22,182625.61,99.6159,1.24,109206.48,SACCADE
275000,669.3,593.3,1.0,3,1,3,3.937635,1.33,38017.27,3.0200758,1.89,29481.19,4.058728,1.57,113880.99,22.563473,1.39,167240.95,75.68335,1.18,159912.86,FIX
279000,669.0,593.5,1.0,3,1,3,3.4433296,2.55,27950.85,2.0257351,2.36,9882.12,2.434855,1.77,11375.17,11.404167,1.31,73480.67,56.2832,1.13,129358.9,FIX
283000,669.0,593.6,1.0,3,1,3,0.9549949,1.57,19764.24,1.9099898,1.57,9882.12,1.4691641,0.93,11917.84,3.0288618,0.72,59180.22,38.70289,1.1,115293.49,SP
287000,669.0,593.9,1.0,3,1,3,2.8649848,1.57,12500.0,2.1850283,0.51,13678.97,2.7878213,0.32,11697.62,2.9387102,0.38,6654.96,24.758816,1.13,91477.08,SP
301000,669.9,594.1,1.0,3,1,3,2.5154564,0.22,6316.03,3.8436637,0.11,3764.62,3.745872,0.2,1942.6,3.5143812,0.18,1604.42,14.148823,1.25,20273.85,FIX
305000,670.8,594.1,1.0,3,1,3,8.5949545,0.0,40336.99,7.6399593,0.0,25153.85,4.7107987,0.06,7322.86,4.117938,0.11,4333.4,7.5211577,1.12,44312.54,SP
309000,671.5,594.1,1.0,3,1,3,6.684964,0.0,12500.0,6.684964,0.0,6250.0,7.6437793,-0.03,19544.1,4.389157,0.1,1785.71,2.9734719,0.45,36036.16,SP
313000,672.2,594.1,1.0,3,1,3,6.684964,0.0,0.0,7.654857,-0.06,6987.71,6.4507995,-0.04,7812.5,4.732955,0.04,2976.19,2.7140956,0.32,2993.36,SP
317000,673.1,594.0,1.0,3,1,3,8.64767,-0.11,13975.42,6.2258024,-0.08,9375.0,5.4912205,0.0,6442.35,4.9308295,0.09,2048.17,2.780563,0.27,918.32,SP
321000,673.5,594.0,1.0,3,1,3,3.8199797,0.0,31868.87,3.3764799,0.14,19764.24,4.7749743,0.0,4687.5,3.8448095,0.11,7142.86,3.3279665,0.18,4016.01,SP
325000,673.8,594.1,1.0,3,1,3,3.0200758,0.32,8838.83,3.3764799,0.14,0.0,2.800427,0.37,15599.88,3.195031,0.14,4285.71,3.0888355,0.15,1718.34,SP
329000,674.2,594.1,1.0,3,1,3,3.8199797,0.0,8838.83,2.5043786,0.59,10171.88,1.8966199,0.56,6578.95,2.4623587,0.22,5050.76,3.8222716,0.04,5407.29,SP
336000,674.4,594.5,1.0,3,1,3,2.440585,1.11,13067.6,1.4317284,1.33,6493.51,1.4496822,0.59,1681.25,1.9523916,0.46,2738.04,4.0235844,0.0,913.63,SP
340000,674.3,594.5,1.0,3,1,3,0.9549949,3.14,19581.89,0.0,0.0,9370.69,1.0825822,1.19,5425.14,2.4161372,0.32,3642.16,3.6687086,-0.03,2426.7,SP
344000,674.4,594.5,1.0,3,1,3,0.9549949,0.0,12500.0,0.6753724,0.79,4419.42,1.0130587,0.79,2793.63,1.8312982,0.24,3968.85,3.2599704,0.02,2848.0,SP
348000,674.4,594.6,1.0,3,1,3,0.9549949,1.57,8838.83,2.0257351,0.79,8838.83,3.1404052,0.15,15702.93,2.9329803,0.03,7907.83,3.0575118,0.03,1374.37,SP
352000,674.7,594.8,1.0,3,1,3,3.4433296,0.59,19764.24,5.7498336,0.08,28811.08,2.2339242,0.07,6096.2,3.2695205,-0.12,3708.76,2.7072196,0.08,2426.7,SP
356000,675.6,594.7,1.0,3,1,3,8.64767,-0.11,41926.27,2.6694016,-0.18,21252.3,4.9751415,-0.13,18458.38,3.5797029,-0.16,2253.47,2.434473,0.16,2235.9,FIX
368000,675.8,594.6,1.0,3,1,3,0.7116622,-0.46,17416.58,4.690553,-0.26,4450.0,5.058417,-0.22,1041.67,3.354706,-0.09,751.16,2.61936,0.24,599.89,FIX
372000,677.5,594.2,1.0,3,1,3,16.678411,-0.23,104624.0,9.843705,-0.24,33729.74,4.0266404,-0.32,7365.7,3.6404407,-0.08,1875.0,2.7889671,0.33,1952.02,FIX
376000,677.8,594.1,1.0,3,1,3,3.0200758,-0.32,89486.38,2.784383,-0.54,47289.83,5.1038747,-0.19,8085.51,3.554109,-0.11,883.88,3.0762296,0.24,2501.4,FIX
380000,678.0,593.9,1.0,3,1,3,2.7011075,-0.79,8838.83,0.6753724,0.79,17677.67,1.688049,0.14,23228.23,2.4925368,0.03,7468.87,3.4689233,0.23,2584.06,FIX
384000,677.9,594.2,1.0,3,1,3,3.0200758,1.89,36443.45,2.1353686,1.11,9882.12,1.6017175,0.46,3493.86,3.5113251,0.23,7684.29,3.5048313,0.27,961.54,FIX
388000,678.2,594.3,1.0,3,1,3,3.0200758,0.32,27950.85,2.5712283,0.38,11267.35,1.8782839,0.98,6101.34,2.9360363,0.66,9780.31,3.6599224,0.22,1602.56,FIX
392000,678.4,594.4,1.0,3,1,3,2.1353686,0.46,6250.0,1.7472588,0.9,8895.03,3.0720274,0.75,8654.29,3.318798,0.61,2712.57,3.6713824,0.16,1321.51,SP
402000,678.6,594.8,1.0,3,1,3,1.708295,1.11,3354.1,3.4941354,0.9,4573.66,4.0533805,0.82,2650.43,3.9036372,0.6,1534.46,3.4299598,0.17,641.03,SP
406000,679.2,595.4,1.0,3,1,3,8.103323,0.79,42573.47,8.103323,0.79,30409.62,4.5839753,0.65,5794.34,4.0709524,0.57,1315.79,4.0361905,0.15,3992.47,SP
410000,679.8,596.0,1.0,3,1,3,8.103323,0.79,0.0,6.8366175,0.43,19008.63,6.940139,0.46,16896.25,4.003339,0.5,2080.45,3.4559357,0.13,3838.35,SP
414000,680.5,596.0,1.0,3,1,3,6.684964,0.0,38017.27,6.702154,0.07,15934.44,5.5531044,0.44,9110.86,4.0522346,0.41,2372.07,3.3264384,0.08,1325.57,SP
418000,681.2,596.1,1.0,3,1,3,6.7529597,0.14,6250.0,4.270737,0.46,20963.14,4.5614376,0.1,12884.71,4.83724,0.27,6424.22,3.750074,0.15,3162.62,SP
422000,681.3,596.4,1.0,3,1,3,3.0200758,1.25,39528.47,2.434855,0.2,13258.25,3.8199797,0.0,5633.67,4.726843,0.08,6104.65,4.0205283,0.13,1874.64,SP
426000,681.7,596.2,1.0,3,1,3,4.270737,-0.46,36443.45,4.270737,-0.46,18221.72,3.1404052,-0.15,5633.67,5.003409,-0.26,10865.34,3.952533,0.13,500.58,SP
430000,682.1,596.0,1.0,3,1,3,4.270737,-0.46,0.0,4.079738,-0.36,3125.0,4.7650423,-0.41,12494.02,4.4476023,-0.41,6009.25,3.959409,0.15,316.46,SP
434000,682.5,595.9,1.0,3,1,3,3.937635,-0.24,6250.0,5.4396505,-0.36,8900.0,6.1318316,-0.56,10412.41,4.5912337,-0.34,2357.02,4.160722,0.11,1591.66,SP
436000,682.9,595.7,1.0,3,1,3,8.541857,-0.46,62500.0,9.048768,-0.69,55901.7,5.801021,-0.72,12876.97,4.9934773,-0.34,5270.46,3.8753693,0.04,5349.49,SP
440000,683.6,595.0,1.0,3,1,3,9.454068,-0.79,19764.24,6.4947295,-0.94,21066.4,6.346514,-0.44,11434.15,4.3501925,-0.17,6574.13,3.941837,-0.09,3441.74,SP
444000,683.7,594.6,1.0,3,1,3,3.937635,-1.33,41926.27,4.7986584,-0.1,31868.87,5.214272,-0.28,9691.2,4.1164103,-0.09,2726.91,4.0262585,-0.16,1746.24,SP
448000,684.6,594.9,1.0,3,1,3,9.059846,0.32,66438.41,6.6505847,0.37,20963.14,3.8616173,0.15,15234.42,3.7313561,-0.05,2726.91,4.810118,-0.25,5831.98,SP
452000,685.0,595.1,1.0,3,1,3,4.270737,0.46,31868.87,3.562513,0.29,20374.83,4.2065616,0.34,5632.19,3.2870927,0.0,3126.28,4.678329,-0.25,864.88,SP
467000,686.3,595.4,1.0,3,1,3,3.39749,0.23,2188.64,3.178987,0.32,701.75,2.9165545,0.4,2276.43,3.2977884,0.08,465.12,4.506812,-0.23,349.19,SP
471000,686.5,595.6,1.0,3,1,3,2.7011075,0.79,11843.89,1.7216648,0.98,13773.63,2.4176652,0.36,3338.47,3.912805,0.05,4111.09,4.3284187,-0.2,1543.21,SP
475000,686.5,595.7,1.0,3,1,3,0.9549949,1.57,13975.42,0.6753724,0.79,6987.71,2.3993292,-0.1,7164.02,4.9827814,-0.2,9900.81,4.3658547,-0.18,436.49,SP
479000,686.6,595.7,1.0,3,1,3,0.9549949,0.0,8838.83,4.270737,-0.46,26882.27,4.270737,-0.46,14405.54,4.509486,-0.2,3097.94,5.057653,-0.13,4855.42,SP
483000,687.3,595.3,1.0,3,1,3,7.6995506,-0.52,45069.39,8.352768,-0.54,26882.27,9.7184105,-0.49,35664.73,4.683295,-0.29,2903.27,4.656555,-0.06,3407.74,SP
487000,688.1,594.8,1.0,3,1,3,9.009422,-0.56,8838.83,15.167611,-0.49,44743.19,7.419546,-0.4,15840.53,4.5919976,-0.3,625.0,4.702395,0.06,3626.99,SP
491000,690.1,593.8,1.0,3,1,3,21.35445,-0.46,81250.0,7.021887,-0.31,54687.5,6.242229,-0.34,8135.68,5.0767527,-0.29,3186.89,4.0889063,0.06,4019.66,SP
503000,690.9,593.9,1.0,3,1,3,2.5666444,0.12,42041.14,2.2010722,0.22,11434.63,4.86971,-0.2,3437.32,7.0046964,-0.19,4379.96,4.0484147,0.08,133.92,FIX
507000,691.0,594.0,1.0,3,1,3,1.3507448,0.79,11219.09,1.7216648,0.98,10004.88,2.4707627,0.26,18778.91,6.1719413,-0.14,5896.24,4.344463,0.11,2217.71,FIX
511000,691.1,594.2,1.0,3,1,3,2.1353686,1.11,6250.0,3.0200758,0.32,12884.71,6.9894166,0.14,29760.51,5.551958,0.07,8948.64,4.5366077,0.1,1338.67,FIX
515000,691.6,594.2,1.0,3,1,3,4.7749743,0.0,27950.85,12.901217,0.04,65699.36,6.516503,0.15,3125.0,3.6114087,0.41,16152.37,4.524384,0.07,974.03,FIX
519000,693.8,594.3,1.0,3,1,3,21.031662,0.05,106433.66,10.072905,0.09,19008.63,7.098668,0.34,9504.32,4.021292,0.51,3636.15,4.4716682,0.06,459.16,FIX
523000,693.7,594.4,1.0,3,1,3,1.3507448,2.36,143750.0,4.323835,1.46,66217.56,4.9648275,0.5,15179.3,4.8158484,0.54,5277.2,4.2283354,0.04,1635.95,FIX
527000,693.9,595.2,1.0,3,1,3,7.87527,1.33,47598.58,3.3505042,1.3,7455.8,2.8760626,1.25,22744.02,5.21771,0.47,3445.28,7.3538427,-0.98,41185.92,FIX
536000,694.0,595.5,1.0,3,1,3,1.3423408,1.25,19015.95,2.1189427,0.98,4358.14,4.3391147,0.99,4991.52,4.664195,0.48,1617.17,14.879967,-1.26,23442.83,FIX
540000,694.3,595.8,1.0,3,1,3,4.051852,0.79,19068.79,6.42406,0.73,28811.08,3.8929415,0.65,9597.93,2.7022536,0.81,14926.16,31.65999,-1.37,110913.43,FIX
544000,695.0,596.4,1.0,3,1,3,8.804671,0.71,31250.0,7.050154,0.49,11267.35,4.270737,0.46,5615.46,2.7755973,0.41,7199.01,49.88168,-1.4,119574.44,FIX
548000,695.6,596.5,1.0,3,1,3,5.8090434,0.17,31868.87,2.9043305,-0.17,33219.21,3.2473648,0.3,7812.5,12.210183,-1.34,85016.34,65.238,-1.45,101981.13,FIX
552000,695.6,596.3,1.0,3,1,3,1.9099898,-1.57,41926.27,1.4324924,-1.57,19764.24,2.9261043,-0.39,13789.79,32.27157,-1.38,131417.69,73.373405,-1.47,54584.82,FIX
556000,695.6,596.2,1.0,3,1,3,0.9549949,-1.57,6250.0,2.991426,-0.5,17187.5,24.485304,-1.47,152086.9,62.167114,-1.42,196022.95,86.43314,-1.51,87813.21,FIX
568000,696.7,595.7,1.0,3,1,3,3.8463376,-0.43,7764.12,36.015533,-1.46,75045.2,54.631058,-1.43,65816.7,97.72386,-1.44,77634.85,86.89537,-1.51,1096.11,FIX
572000,697.2,581.2,1.0,2,2,2,138.55638,-1.54,895872.06,160.40782,-1.46,814091.0,103.96189,-1.44,322898.2,127.314575,-1.48,195793.66,87.618484,-1.51,4742.5,SACCADE
576000,700.3,562.3,1.0,2,2,2,182.90598,-1.41,319423.3,239.87296,-1.44,521004.12,242.16608,-1.46,904603.56,131.32976,-1.5,29680.74,93.43708,-1.51,38087.97,SACCADE
580000,703.8,531.4,1.0,2,2,2,296.9805,-1.46,750416.56,323.92664,-1.46,551073.2,281.5642,-1.49,261610.3,154.49258,-1.52,153115.27,93.72282,-1.51,1875.0,SACCADE
584000,708.0,494.9,1.0,2,2,2,350.87314,-1.46,352723.78,323.69742,-1.52,131584.4,208.17743,-1.52,482857.72,185.74155,-1.53,204550.9,94.89173,-1.51,8202.75,SACCADE
