@RELATION gaze_labels

%@METADATA width_px 1280
%@METADATA height_px 720
%@METADATA width_mm 400.00
%@METADATA height_mm 225.00
%@METADATA distance_mm 450.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER
@ATTRIBUTE speed_1 NUMERIC
@ATTRIBUTE direction_1 NUMERIC
@ATTRIBUTE acceleration_1 NUMERIC
@ATTRIBUTE speed_2 NUMERIC
@ATTRIBUTE direction_2 NUMERIC
@ATTRIBUTE acceleration_2 NUMERIC
@ATTRIBUTE speed_4 NUMERIC
@ATTRIBUTE direction_4 NUMERIC
@ATTRIBUTE acceleration_4 NUMERIC
@ATTRIBUTE speed_8 NUMERIC
@ATTRIBUTE direction_8 NUMERIC
@ATTRIBUTE acceleration_8 NUMERIC
@ATTRIBUTE speed_16 NUMERIC
@ATTRIBUTE direction_16 NUMERIC
@ATTRIBUTE acceleration_16 NUMERIC

% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%The number after speed, direction denotes the step size that was used for the calculation.
%Acceleration was calculated between two adjacent samples of the already low pass filtered velocity

@DATA
72000,600.70,319.60,1.00,1,1,1,175.00,-1.57,50689.69,125.62,-1.67,26700.01,39.53,-1.25,5208.33,20.62,-1.82,1397.54,11.18,-1.11,1288.47
76000,600.60,319.30,1.00,1,1,1,79.06,-1.89,25769.41,63.74,-1.77,15625.00,95.61,-1.77,16086.92,17.09,-1.21,2926.17,10.42,-1.21,340.86
80000,600.60,319.10,1.00,1,1,1,50.00,-1.57,8838.83,67.31,-1.95,3125.00,53.76,-2.19,12884.71,23.41,-1.22,1581.14,7.32,-1.57,1099.25
84000,600.40,318.80,1.00,1,1,1,90.14,-2.16,13975.42,55.90,-2.68,11267.35,15.38,-1.57,10550.94,30.95,-1.57,3001.51,5.45,-2.03,862.33
88000,600.20,318.90,1.00,1,1,1,55.90,2.68,25000.00,12.42,0.46,17081.07,8.60,-1.11,2150.07,19.05,-1.57,2976.19,5.88,-2.21,275.97
102000,600.60,318.90,1.00,1,1,1,28.57,0.00,5889.49,27.78,0.00,1254.87,13.87,0.59,1228.61,14.29,-1.57,340.14,6.34,-1.95,118.84
106000,600.70,318.90,1.00,1,1,1,25.00,0.00,892.86,17.68,0.79,4934.96,19.61,-0.20,3466.88,7.53,-2.82,3470.80,11.10,-2.13,1247.84
110000,600.70,319.00,1.00,1,1,1,25.00,1.57,8838.83,12.50,-1.57,6987.71,12.50,-1.57,5272.05,12.82,1.95,3620.69,16.27,-2.07,1308.70
114000,600.70,318.80,1.00,1,1,1,50.00,-1.57,18750.00,39.53,-1.89,6987.71,25.77,2.90,7812.50,9.16,1.82,985.69,9.37,-2.55,2272.73
118000,600.60,318.70,1.00,1,1,1,35.36,-2.36,8838.83,55.90,2.68,18221.72,36.44,2.60,3493.86,16.66,2.60,3016.92,6.99,-2.76,726.00
122000,600.30,319.00,1.00,1,1,1,106.07,2.36,27950.85,90.14,2.16,12500.00,41.11,2.45,1893.23,27.11,2.82,2857.14,5.35,-2.90,459.16
126000,600.20,319.30,1.00,1,1,1,79.06,1.89,12500.00,32.78,2.16,14340.26,37.22,2.36,1315.79,18.07,2.82,2258.77,6.07,1.77,2070.82
133000,600.10,319.30,1.00,1,1,1,14.29,3.14,10823.06,12.86,-2.36,5354.68,28.34,2.76,2255.64,20.60,2.55,816.33,5.05,0.79,760.57
137000,600.10,319.20,1.00,1,1,1,25.00,-1.57,7198.44,39.53,-2.82,7153.23,7.44,-2.36,6578.95,18.29,2.47,714.29,4.05,1.57,900.97
141000,599.80,319.20,1.00,1,1,1,75.00,3.14,19764.24,0.00,0.00,9882.12,6.25,-1.57,1338.72,2.86,3.14,4040.61,4.05,1.57,0.00
145000,600.10,319.20,1.00,1,1,1,75.00,0.00,37500.00,37.50,0.00,9375.00,6.25,-1.57,0.00,2.38,0.00,1309.52,2.70,1.57,337.84
149000,600.10,319.20,1.00,1,1,1,0.00,0.00,18750.00,12.50,-1.57,9882.12,27.95,-0.46,6442.35,10.57,-0.24,2070.59,5.41,1.57,675.68
153000,600.10,319.10,1.00,1,1,1,25.00,-1.57,6250.00,27.95,-1.11,4419.42,9.72,0.46,5861.32,12.82,0.00,906.55,8.22,1.41,755.43
157000,600.20,319.00,1.00,1,1,1,35.36,-0.79,6250.00,18.86,0.79,9585.60,17.39,0.00,2430.51,23.08,0.00,2564.10,6.17,0.64,1420.05
168000,600.30,319.30,1.00,1,1,1,28.75,1.25,4967.28,24.04,0.59,606.06,22.17,0.20,558.98,15.38,0.00,699.30,5.24,0.79,112.23
172000,600.50,319.20,1.00,1,1,1,55.90,-0.46,16594.41,39.53,-0.32,7800.69,23.41,0.38,1086.96,15.38,0.00,0.00,8.21,0.90,764.63
176000,600.60,319.20,1.00,1,1,1,25.00,0.00,8838.83,25.00,0.00,4419.42,25.77,-0.24,3824.31,16.22,0.32,1282.05,12.63,1.15,1282.05
180000,600.70,319.20,1.00,1,1,1,25.00,0.00,0.00,12.50,0.00,3125.00,12.50,0.00,3493.86,12.68,0.54,1181.30,25.64,1.57,3751.51
184000,600.70,319.20,1.00,1,1,1,0.00,0.00,6250.00,0.00,0.00,3125.00,8.84,0.79,2209.71,9.25,0.98,1464.87,77.31,1.67,12963.94
188000,600.70,319.20,1.00,1,1,1,0.00,0.00,0.00,12.50,1.57,3125.00,4.35,1.57,1633.26,15.38,1.57,2311.25,225.82,1.61,37180.87
192000,600.70,319.30,1.00,1,1,1,25.00,1.57,6250.00,6.67,1.57,1458.33,19.44,2.03,3919.08,23.22,1.68,2027.10,625.80,1.55,100166.28
203000,600.70,319.30,1.00,1,2,1,0.00,0.00,2272.73,24.04,2.16,1714.20,27.50,1.89,790.51,56.24,1.99,3170.51,1063.04,1.50,39921.09
207000,600.50,319.60,1.00,1,2,1,90.14,2.16,22534.70,67.31,1.95,11018.06,35.85,1.82,2173.91,156.89,1.77,25713.04,1863.07,1.47,200185.33
211000,600.50,319.80,1.00,1,2,1,50.00,1.57,13975.42,62.50,1.57,6250.00,131.40,2.01,24124.60,452.51,1.64,74361.74,2527.47,1.45,166598.51
215000,600.50,320.10,1.00,1,2,1,75.00,1.57,6250.00,195.66,2.03,35630.48,355.54,1.75,57833.61,1246.22,1.56,199052.65,3107.73,1.40,149645.04
219000,599.80,321.20,1.00,1,2,1,325.96,2.14,66438.41,649.64,1.76,116004.44,1064.72,1.64,178131.85,2580.73,1.50,334582.80,3556.33,1.35,118798.85
223000,599.50,325.20,1.00,2,2,2,1002.81,1.65,182966.01,1950.64,1.60,328660.28,2987.82,1.56,482071.13,4357.62,1.48,444863.05,3889.69,1.32,89297.89
227000,599.40,336.80,1.00,2,2,2,2900.11,1.58,475164.45,5341.73,1.53,849413.86,5047.13,1.49,518641.74,6295.76,1.45,485687.30,4125.75,1.32,59247.00
231000,601.20,367.90,1.00,2,2,2,7788.01,1.51,1224521.59,8156.91,1.47,711821.22,9300.07,1.46,1064348.82,7735.90,1.40,371827.06,3747.01,1.33,94748.72
235000,606.20,401.70,1.00,2,2,2,8541.96,1.42,261680.27,15663.89,1.43,1880213.69,14697.92,1.43,1353171.83,8823.44,1.35,292045.05,4147.72,1.33,100175.62
236000,612.50,445.40,1.00,2,2,2,44151.78,1.43,35609900.31,40903.42,1.40,25248912.85,15411.98,1.35,1413966.05,9513.05,1.31,779033.69,4150.22,1.32,4650.41
237000,620.20,482.30,1.00,2,2,2,37694.83,1.37,6942621.98,15257.37,1.27,25855390.15,14997.87,1.27,1297998.46,9673.06,1.30,170796.95,4149.14,1.33,4411.76
241000,635.30,518.20,1.00,2,2,2,9736.59,1.17,7049872.56,8715.16,1.11,1695863.76,9948.24,1.16,1304785.49,6501.00,1.28,794280.59,4146.29,1.33,735.29
245000,651.10,544.80,1.00,2,2,2,7734.66,1.03,582894.18,6765.60,1.01,528346.85,6714.55,1.12,811865.68,5591.99,1.25,230203.88,4137.40,1.32,3908.14
249000,664.30,563.90,1.00,2,2,2,5804.36,0.97,496117.74,4715.30,1.14,547410.45,3116.90,1.14,899696.93,4062.36,1.20,386729.78,3563.63,1.31,143625.70
253000,666.80,579.10,1.00,2,2,2,3851.06,1.41,711786.92,1577.32,1.40,804605.67,1976.65,1.21,288256.34,2891.35,1.16,295491.71,3423.37,1.30,37317.38
267000,669.00,591.90,1.00,2,2,2,927.69,1.40,208813.92,778.17,1.40,57083.58,1147.01,1.40,62725.26,1966.39,1.15,66078.60,3036.83,1.27,28497.66
271000,669.20,592.90,1.00,2,2,2,254.95,1.37,168217.70,178.97,1.36,149844.39,560.27,1.42,146722.07,1244.31,1.22,182625.61,2607.76,1.24,109206.48
275000,669.30,593.30,1.00,3,1,3,103.08,1.33,38017.27,79.06,1.89,29481.19,106.25,1.57,113880.99,590.67,1.39,167240.95,1981.25,1.18,159912.86
279000,669.00,593.50,1.00,3,1,3,90.14,2.55,27950.85,53.03,2.36,9882.12,63.74,1.77,11375.17,298.54,1.31,73480.67,1473.39,1.13,129358.90
283000,669.00,593.60,1.00,3,1,3,25.00,1.57,19764.24,50.00,1.57,9882.12,38.46,0.93,11917.84,79.29,0.72,59180.22,1013.17,1.10,115293.49
287000,669.00,593.90,1.00,3,1,3,75.00,1.57,12500.00,57.20,0.51,13678.97,72.98,0.32,11697.62,76.93,0.38,6654.96,648.14,1.13,91477.08
301000,669.90,594.10,1.00,3,1,3,65.85,0.22,6316.03,100.62,0.11,3764.62,98.06,0.20,1942.60,92.00,0.18,1604.42,370.39,1.25,20273.85
305000,670.80,594.10,1.00,3,1,3,225.00,0.00,40336.99,200.00,0.00,25153.85,123.32,0.06,7322.86,107.80,0.11,4333.40,196.89,1.12,44312.54
309000,671.50,594.10,1.00,3,1,3,175.00,0.00,12500.00,175.00,0.00,6250.00,200.10,-0.03,19544.10,114.90,0.10,1785.71,77.84,0.45,36036.16
313000,672.20,594.10,1.00,3,1,3,175.00,0.00,0.00,200.39,-0.06,6987.71,168.87,-0.04,7812.50,123.90,0.04,2976.19,71.05,0.32,2993.36
317000,673.10,594.00,1.00,3,1,3,226.38,-0.11,13975.42,162.98,-0.08,9375.00,143.75,0.00,6442.35,129.08,0.09,2048.17,72.79,0.27,918.32
321000,673.50,594.00,1.00,3,1,3,100.00,0.00,31868.87,88.39,0.14,19764.24,125.00,0.00,4687.50,100.65,0.11,7142.86,87.12,0.18,4016.01
325000,673.80,594.10,1.00,3,1,3,79.06,0.32,8838.83,88.39,0.14,0.00,73.31,0.37,15599.88,83.64,0.14,4285.71,80.86,0.15,1718.34
329000,674.20,594.10,1.00,3,1,3,100.00,0.00,8838.83,65.56,0.59,10171.88,49.65,0.56,6578.95,64.46,0.22,5050.76,100.06,0.04,5407.29
336000,674.40,594.50,1.00,3,1,3,63.89,1.11,13067.60,37.48,1.33,6493.51,37.95,0.59,1681.25,51.11,0.46,2738.04,105.33,0.00,913.63
340000,674.30,594.50,1.00,3,1,3,25.00,3.14,19581.89,0.00,0.00,9370.69,28.34,1.19,5425.14,63.25,0.32,3642.16,96.04,-0.03,2426.70
344000,674.40,594.50,1.00,3,1,3,25.00,0.00,12500.00,17.68,0.79,4419.42,26.52,0.79,2793.63,47.94,0.24,3968.85,85.34,0.02,2848.00
348000,674.40,594.60,1.00,3,1,3,25.00,1.57,8838.83,53.03,0.79,8838.83,82.21,0.15,15702.93,76.78,0.03,7907.83,80.04,0.03,1374.37
352000,674.70,594.80,1.00,3,1,3,90.14,0.59,19764.24,150.52,0.08,28811.08,58.48,0.07,6096.20,85.59,-0.12,3708.76,70.87,0.08,2426.70
356000,675.60,594.70,1.00,3,1,3,226.38,-0.11,41926.27,69.88,-0.18,21252.30,130.24,-0.13,18458.38,93.71,-0.16,2253.47,63.73,0.16,2235.90
368000,675.80,594.60,1.00,3,1,3,18.63,-0.46,17416.58,122.79,-0.26,4450.00,132.42,-0.22,1041.67,87.82,-0.09,751.16,68.57,0.24,599.89
372000,677.50,594.20,1.00,3,1,3,436.61,-0.23,104624.00,257.69,-0.24,33729.74,105.41,-0.32,7365.70,95.30,-0.08,1875.00,73.01,0.33,1952.02
376000,677.80,594.10,1.00,3,1,3,79.06,-0.32,89486.38,72.89,-0.54,47289.83,133.61,-0.19,8085.51,93.04,-0.11,883.88,80.53,0.24,2501.40
380000,678.00,593.90,1.00,3,1,3,70.71,-0.79,8838.83,17.68,0.79,17677.67,44.19,0.14,23228.23,65.25,0.03,7468.87,90.81,0.23,2584.06
384000,677.90,594.20,1.00,3,1,3,79.06,1.89,36443.45,55.90,1.11,9882.12,41.93,0.46,3493.86,91.92,0.23,7684.29,91.75,0.27,961.54
388000,678.20,594.30,1.00,3,1,3,79.06,0.32,27950.85,67.31,0.38,11267.35,49.17,0.98,6101.34,76.86,0.66,9780.31,95.81,0.22,1602.56
392000,678.40,594.40,1.00,3,1,3,55.90,0.46,6250.00,45.74,0.90,8895.03,80.42,0.75,8654.29,86.88,0.61,2712.57,96.11,0.16,1321.51
402000,678.60,594.80,1.00,3,1,3,44.72,1.11,3354.10,91.47,0.90,4573.66,106.11,0.82,2650.43,102.19,0.60,1534.46,89.79,0.17,641.03
406000,679.20,595.40,1.00,3,1,3,212.13,0.79,42573.47,212.13,0.79,30409.62,120.00,0.65,5794.34,106.57,0.57,1315.79,105.66,0.15,3992.47
410000,679.80,596.00,1.00,3,1,3,212.13,0.79,0.00,178.97,0.43,19008.63,181.68,0.46,16896.25,104.80,0.50,2080.45,90.47,0.13,3838.35
414000,680.50,596.00,1.00,3,1,3,175.00,0.00,38017.27,175.45,0.07,15934.44,145.37,0.44,9110.86,106.08,0.41,2372.07,87.08,0.08,1325.57
418000,681.20,596.10,1.00,3,1,3,176.78,0.14,6250.00,111.80,0.46,20963.14,119.41,0.10,12884.71,126.63,0.27,6424.22,98.17,0.15,3162.62
422000,681.30,596.40,1.00,3,1,3,79.06,1.25,39528.47,63.74,0.20,13258.25,100.00,0.00,5633.67,123.74,0.08,6104.65,105.25,0.13,1874.64
426000,681.70,596.20,1.00,3,1,3,111.80,-0.46,36443.45,111.80,-0.46,18221.72,82.21,-0.15,5633.67,130.98,-0.26,10865.34,103.47,0.13,500.58
430000,682.10,596.00,1.00,3,1,3,111.80,-0.46,0.00,106.80,-0.36,3125.00,124.74,-0.41,12494.02,116.43,-0.41,6009.25,103.65,0.15,316.46
434000,682.50,595.90,1.00,3,1,3,103.08,-0.24,6250.00,142.40,-0.36,8900.00,160.52,-0.56,10412.41,120.19,-0.34,2357.02,108.92,0.11,1591.66
436000,682.90,595.70,1.00,3,1,3,223.61,-0.46,62500.00,236.88,-0.69,55901.70,151.86,-0.72,12876.97,130.72,-0.34,5270.46,101.45,0.04,5349.49
440000,683.60,595.00,1.00,3,1,3,247.49,-0.79,19764.24,170.02,-0.94,21066.40,166.14,-0.44,11434.15,113.88,-0.17,6574.13,103.19,-0.09,3441.74
444000,683.70,594.60,1.00,3,1,3,103.08,-1.33,41926.27,125.62,-0.10,31868.87,136.50,-0.28,9691.20,107.76,-0.09,2726.91,105.40,-0.16,1746.24
448000,684.60,594.90,1.00,3,1,3,237.17,0.32,66438.41,174.10,0.37,20963.14,101.09,0.15,15234.42,97.68,-0.05,2726.91,125.92,-0.25,5831.98
452000,685.00,595.10,1.00,3,1,3,111.80,0.46,31868.87,93.26,0.29,20374.83,110.12,0.34,5632.19,86.05,0.00,3126.28,122.47,-0.25,864.88
467000,686.30,595.40,1.00,3,1,3,88.94,0.23,2188.64,83.22,0.32,701.75,76.35,0.40,2276.43,86.33,0.08,465.12,117.98,-0.23,349.19
471000,686.50,595.60,1.00,3,1,3,70.71,0.79,11843.89,45.07,0.98,13773.63,63.29,0.36,3338.47,102.43,0.05,4111.09,113.31,-0.20,1543.21
475000,686.50,595.70,1.00,3,1,3,25.00,1.57,13975.42,17.68,0.79,6987.71,62.81,-0.10,7164.02,130.44,-0.20,9900.81,114.29,-0.18,436.49
479000,686.60,595.70,1.00,3,1,3,25.00,0.00,8838.83,111.80,-0.46,26882.27,111.80,-0.46,14405.54,118.05,-0.20,3097.94,132.40,-0.13,4855.42
483000,687.30,595.30,1.00,3,1,3,201.56,-0.52,45069.39,218.66,-0.54,26882.27,254.41,-0.49,35664.73,122.60,-0.29,2903.27,121.90,-0.06,3407.74
487000,688.10,594.80,1.00,3,1,3,235.85,-0.56,8838.83,397.06,-0.49,44743.19,194.23,-0.40,15840.53,120.21,-0.30,625.00,123.10,0.06,3626.99
491000,690.10,593.80,1.00,3,1,3,559.02,-0.46,81250.00,183.82,-0.31,54687.50,163.41,-0.34,8135.68,132.90,-0.29,3186.89,107.04,0.06,4019.66
503000,690.90,593.90,1.00,3,1,3,67.19,0.12,42041.14,57.62,0.22,11434.63,127.48,-0.20,3437.32,183.37,-0.19,4379.96,105.98,0.08,133.92
507000,691.00,594.00,1.00,3,1,3,35.36,0.79,11219.09,45.07,0.98,10004.88,64.68,0.26,18778.91,161.57,-0.14,5896.24,113.73,0.11,2217.71
511000,691.10,594.20,1.00,3,1,3,55.90,1.11,6250.00,79.06,0.32,12884.71,182.97,0.14,29760.51,145.34,0.07,8948.64,118.76,0.10,1338.67
515000,691.60,594.20,1.00,3,1,3,125.00,0.00,27950.85,337.73,0.04,65699.36,170.59,0.15,3125.00,94.54,0.41,16152.37,118.44,0.07,974.03
519000,693.80,594.30,1.00,3,1,3,550.57,0.05,106433.66,263.69,0.09,19008.63,185.83,0.34,9504.32,105.27,0.51,3636.15,117.06,0.06,459.16
523000,693.70,594.40,1.00,3,1,3,35.36,2.36,143750.00,113.19,1.46,66217.56,129.97,0.50,15179.30,126.07,0.54,5277.20,110.69,0.04,1635.95
527000,693.90,595.20,1.00,3,1,3,206.16,1.33,47598.58,87.71,1.30,7455.80,75.29,1.25,22744.02,136.59,0.47,3445.28,192.51,-0.98,41185.92
536000,694.00,595.50,1.00,3,1,3,35.14,1.25,19015.95,55.47,0.98,4358.14,113.59,0.99,4991.52,122.10,0.48,1617.17,389.53,-1.26,23442.83
540000,694.30,595.80,1.00,3,1,3,106.07,0.79,19068.79,168.17,0.73,28811.08,101.91,0.65,9597.93,70.74,0.81,14926.16,828.80,-1.37,110913.43
544000,695.00,596.40,1.00,3,1,3,230.49,0.71,31250.00,184.56,0.49,11267.35,111.80,0.46,5615.46,72.66,0.41,7199.01,1305.81,-1.40,119574.44
548000,695.60,596.50,1.00,3,1,3,152.07,0.17,31868.87,76.03,-0.17,33219.21,85.01,0.30,7812.50,319.64,-1.34,85016.34,1707.81,-1.45,101981.13
552000,695.60,596.30,1.00,3,1,3,50.00,-1.57,41926.27,37.50,-1.57,19764.24,76.60,-0.39,13789.79,844.81,-1.38,131417.68,1920.78,-1.47,54584.82
556000,695.60,596.20,1.00,3,1,3,25.00,-1.57,6250.00,78.31,-0.50,17187.50,640.98,-1.47,152086.90,1627.42,-1.42,196022.96,2262.66,-1.51,87813.21
568000,696.70,595.70,1.00,3,1,3,100.69,-0.43,7764.12,942.82,-1.46,75045.20,1430.14,-1.43,65816.70,2558.23,-1.44,77634.85,2274.76,-1.51,1096.11
572000,697.20,581.20,1.00,2,2,2,3627.15,-1.54,895872.09,4199.18,-1.46,814090.99,2721.53,-1.44,322898.18,3332.86,-1.48,195793.66,2293.69,-1.51,4742.50
576000,700.30,562.30,1.00,2,2,2,4788.14,-1.41,319423.31,6279.43,-1.44,521004.14,6339.46,-1.46,904603.54,3437.97,-1.50,29680.74,2446.01,-1.51,38087.97
580000,703.80,531.40,1.00,2,2,2,7774.40,-1.46,750416.55,8479.80,-1.46,551073.17,7370.83,-1.49,261610.29,4044.33,-1.52,153115.26,2453.49,-1.51,1875.00
584000,708.00,494.90,1.00,2,2,2,9185.21,-1.46,352723.78,8473.80,-1.52,131584.40,5449.70,-1.52,482857.73,4862.37,-1.53,204550.90,2484.09,-1.51,8202.75
588000,707.30,463.70,1.00,2,2,2,7801.96,-1.59,451127.06,3950.18,-1.58,1134357.78,5379.40,-1.56,63413.46,4520.12,-1.52,85627.28,2497.40,-1.52,3915.61
600000,707.40,431.70,1.00,2,2,2,2666.68,-1.57,428050.51,3840.19,-1.61,12895.23,3897.34,-1.60,124313.31,4055.18,-1.53,38949.98,2500.24,-1.51,560.95
604000,705.00,402.30,1.00,2,2,2,7374.45,-1.65,1180669.32,3795.74,-1.64,29356.71,2629.91,-1.59,316873.90,3288.19,-1.55,192292.91,2486.95,-1.51,3915.61
608000,705.40,401.40,1.00,2,2,2,246.22,-1.15,1789825.85,234.85,-1.13,898023.00,1970.18,-1.61,165133.74,2422.83,-1.59,217913.58,2862.74,-1.51,93957.99
612000,705.80,400.60,1.00,3,1,1,223.61,-1.11,6250.00,180.28,-0.98,15625.00,176.89,-1.01,456640.46,1667.65,-1.58,188800.70,2671.08,-1.51,47956.40
616000,706.20,400.20,1.00,3,1,1,141.42,-0.79,25000.00,123.74,-0.79,15934.44,221.50,-1.28,17469.28,1096.99,-1.59,142666.60,2370.79,-1.52,75289.59
620000,706.50,399.90,1.00,3,1,1,106.07,-0.79,8838.83,276.13,-1.48,49410.59,228.10,-1.41,6987.71,166.36,-1.08,238653.65,1900.01,-1.53,117868.01
624000,706.40,398.00,1.00,3,1,1,475.66,-1.62,103077.64,362.72,-1.61,23799.29,229.21,-1.38,1562.50,136.63,-0.82,12302.49,1360.47,-1.55,135208.17
628000,706.40,397.00,1.00,3,1,1,250.00,-1.57,56596.16,185.83,-1.23,50485.92,156.75,-1.16,20846.35,89.29,-0.28,18840.78,774.01,-1.53,146733.85
632000,706.90,396.60,1.00,3,1,1,160.08,-0.67,48814.06,156.62,0.50,65251.92,136.31,0.29,48645.23,94.29,0.43,16071.43,405.88,-1.48,92311.27
636000,707.50,397.60,1.00,3,1,1,291.55,1.03,87722.93,449.44,1.01,80440.68,284.43,1.02,51028.27,121.22,0.79,11607.14,81.08,0.30,107528.20
637000,708.10,398.50,1.00,3,1,1,1081.67,0.98,790569.42,601.04,1.28,205548.05,416.50,1.22,150231.30,192.23,0.96,75677.21,93.52,0.65,32516.61
640000,708.20,399.90,1.00,3,1,1,467.86,1.50,237788.16,406.33,1.39,67784.00,408.67,1.28,8333.33,166.67,1.04,9802.72,99.59,0.79,4901.55
644000,708.60,401.30,1.00,3,1,1,364.01,1.29,33592.74,312.50,1.29,25320.81,276.24,1.23,33429.55,182.34,1.12,5286.03,101.90,0.86,2053.15
648000,708.90,402.30,1.00,3,1,1,261.01,1.28,25769.41,177.66,0.89,41102.96,114.40,1.06,41099.85,181.24,1.13,641.03,133.83,1.04,9513.56
652000,709.50,402.40,1.00,3,1,1,152.07,0.17,59292.71,44.97,0.36,35150.45,81.57,0.88,9305.44,175.56,1.21,3754.86,145.06,1.10,3542.34
667000,709.70,402.60,1.00,3,1,1,18.86,0.79,9144.25,41.11,0.88,1488.65,86.46,0.82,493.83,145.70,1.14,2117.35,160.54,1.11,1032.74
